variable;res;link
tmin;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_tmin.zip
tmax;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_tmax.zip
tavg;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_tavg.zip
prec;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_prec.zip
srad;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_srad.zip
wind;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_wind.zip
vapr;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_vapr.zip
bioc;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_bio.zip
elev;r10min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_10m_elev.zip
tmin;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_tmin.zip
tmax;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_tmax.zip
tavg;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_tavg.zip
prec;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_prec.zip
srad;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_srad.zip
wind;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_wind.zip
vapr;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_vapr.zip
bioc;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_bio.zip
elev;r5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_5m_elev.zip
tmin;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_tmin.zip
tmax;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_tmax.zip
tavg;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_tavg.zip
prec;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_prec.zip
srad;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_srad.zip
wind;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_wind.zip
vapr;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_vapr.zip
bioc;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_bio.zip
elev;r2.5min;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_2.5m_elev.zip
tmin;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_tmin.zip
tmax;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_tmax.zip
tavg;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_tavg.zip
prec;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_prec.zip
srad;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_srad.zip
wind;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_wind.zip
vapr;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_vapr.zip
bioc;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_bio.zip
elev;r30sec;https://biogeo.ucdavis.edu/data/worldclim/v2.1/base/wc2.1_30s_elev.zip
